time,x_omega,y_omega,z_omega,temp,index,x_angle_1,y_angle_1,z_angle_1,x_angle_2,y_angle_2,z_angle_2
0.354,0.001676657,-0.093775563,0.080881288,27.5,2563,9.12E-05,-0.001391074,0.001039727,-0.000744657,-0.000134663,0.001790178
0.356,0.0000825,-0.07805424,0.061767233,27.5,2564,9.61E-05,-0.001551273,0.001157574,-0.000741304,-0.000322214,0.001951941
0.358,0.002208042,-0.051852034,0.046900746,27.5,2565,0.000105312,-0.001659067,0.001245687,-0.000741139,-0.000478322,0.002075475
0.36,0.0000825,-0.030366225,0.020884393,27.5,2566,0.000110243,-0.001723889,0.001281768,-0.000736723,-0.000582027,0.002169277
0.362,-0.006825512,-0.006260196,0.007079798,27.5,2567,0.000101359,-0.001740499,0.00129024,-0.000736558,-0.000642759,0.002211046
0.364,-0.003105813,0.018369877,-0.016281825,27.5,2568,9.99E-05,-0.001707849,0.001251988,-0.000750209,-0.000655279,0.002225205
0.366,-0.007888284,0.043523995,-0.038581556,27.5,2569,8.89E-05,-0.001624891,0.001169138,-0.000756421,-0.00061854,0.002192641
0.368,-0.003105813,0.06710598,-0.063005071,27.5,2570,8.75E-05,-0.001494768,0.00103744,-0.000772197,-0.000531492,0.002115478
0.37,-0.008951055,0.086495612,-0.082650072,27.5,2571,7.43E-05,-0.001325866,0.000866452,-0.000778409,-0.00039728,0.001989468
0.372,-0.007888284,0.106409288,-0.094330883,27.5,2572,6.33E-05,-0.001117137,0.000672103,-0.000796311,-0.000224288,0.001824168
0.374,-0.008951055,0.121082524,-0.106542641,27.5,2573,5.02E-05,-0.000879062,0.00045333,-0.000812088,-1.14699E-05,0.001635506
0.376,-0.003637199,0.128419141,-0.112913992,27.5,2574,4.77E-05,-0.000626313,0.000221814,-0.00082999,0.000230695,0.001422421
0.378,-0.007356898,0.137327891,-0.109197371,27.5,2575,0.000037753,-0.000355747,-0.000002268,-0.000837264,0.000487533,0.001196593
0.38,0.000613886,0.13208745,-0.106011695,27.5,2576,4.37E-05,-9.57E-05,-0.000219979,-0.000851978,0.000762189,0.000978198
